#,"Referring Domain1","Domain Rating (desc)1","Ahrefs Rank","Total Backlinks","Backlinks for Referring Domain (Percent %)","Dofollow Backlinks","Dofollow Backlinks for Referring Domain (Percent %)","First Seen","Referring domains","Linked Domains","Organic Traffic"
1,forexfactory.com,76,29090,198717,63,198668,81,"2017-03-12 06:18:55","37,950",434,569360
2,dailyforex.com,70,102742,6,0,3,0,"2023-03-14 08:55:40","11,739",281,120762
3,forexpeacearmy.com,70,107183,765,0.24,0,0,"2021-09-30 02:13:50","6,153","5,043",234402
4,openforexbroker.com,70,103302,1,0,0,0,"2023-02-25 22:42:30","1,514",9,0
5,forex.pm,70,113974,1,0,0,0,"2022-10-26 17:45:47","15,778","21,147",0
6,forexbrokereview.com,65,169727,2,0,0,0,"2023-01-30 14:27:30","11,905","22,238",0
7,info-forex.de,65,169549,1,0,0,0,"2023-03-03 11:05:15","11,448","4,753",0.29
8,earnforex.com,64,186091,9094,3,0,0,"2019-11-23 04:23:22","7,922","2,432",25453
9,forexrabota.ru,64,183532,2,0,0,0,"2023-01-27 12:17:23","11,041","1,864",4.5
10,enforex.com,55,453278,144,0.05,143,0.06,"2017-09-20 21:07:58","6,009",73,0
11,forexsuggest.com,55,450164,13076,4,0,0,"2022-10-07 00:02:26","2,819",436,48605
12,forex-binary-options.fun,55,435811,3,0,0,0,"2023-02-10 17:45:04","3,264","3,438",0
13,videforex.com,53,545148,2,0,2,0,"2019-07-25 05:10:32","3,117",198,31881
14,practice-forex-trading.space,53,524321,1,0,0,0,"2022-12-02 02:15:29","1,655",73,0.07
15,forex-euro-dollar.space,52,612578,2,0,0,0,"2021-12-24 18:49:54","1,414","1,514",0
16,forex-ball.space,51,672045,1,0,0,0,"2022-12-22 10:41:21","1,337","1,715",0.16
17,forex-market-analysis.space,51,675616,2,0,0,0,"2022-02-27 09:09:15","1,383","1,378",0
18,euro-dollar-forex.space,50,748962,1,0,0,0,"2021-12-25 16:17:33","1,282","1,460",0
19,eurodollarforex.space,49,787764,2,0,0,0,"2022-01-05 17:02:19","1,276","7,803",0.01
20,forex-ship.space,49,775187,1,0,0,0,"2022-01-28 17:14:14","1,243","1,358",0
21,forexsimulator.website,49,795933,2,0,0,0,"2023-02-21 10:12:58","1,435","1,756",0.99
22,easy-forex.cn.com,48,853978,2,0,2,0,"2022-08-16 23:18:25",129,265,7
23,forexoptions.eu,47,971357,3,0,3,0,"2021-12-27 21:42:21","1,075",790,0
24,forexvirlals.info,47,968487,3,0,0,0,"2023-02-12 13:39:30",967,"2,128",0.06
25,1forexforum.com,45,1064348,1,0,0,0,"2020-06-09 05:33:48","3,143",5,0.48
26,pensionsforexpats.co.uk,44,1171157,1,0,0,0,"2022-07-01 14:05:53",706,37,18
27,masterforex-v.org,43,1251604,1,0,1,0,"2022-06-02 10:56:50","1,404","8,804",257
28,forexcargo.us,43,1270886,1,0,1,0,"2020-10-13 15:10:08",200,8,7331
29,theforexguy.com,42,1370733,2,0,0,0,"2021-12-05 00:49:50","1,027",49,226
30,busforex.com,41,1534374,151,0.05,0,0,"2021-08-16 20:24:19","1,715",606,0
31,forexsmarttrade.com,41,1445719,1,0,0,0,"2019-06-05 00:40:43",541,50,64
32,scholarshipsforexcellence.com,38,1900131,1,0,1,0,"2019-11-17 00:15:07",333,"5,128",2.2
33,forexestafa.es,38,1960086,333,0.11,0,0,"2019-06-22 14:02:30","1,750","1,206",147
34,forexsn.com,36,2422649,5738,2,0,0,"2021-02-22 06:24:15","1,711","4,511",0
35,enforex.es,34,2787056,10,0,10,0,"2021-03-15 08:30:20",226,23,1966
36,forex.hu,33,3186053,7,0,7,0,"2020-12-21 17:08:53",249,20,0
37,forexstart.com,32,3435730,2,0,0,0,"2022-06-23 07:59:03",47,27,55
38,nhcenterforexcellence.org,32,3627417,2,0,2,0,"2021-12-09 15:51:48",78,50,125
39,dasarforex.com,30,4320360,24,0.01,0,0,"2020-05-01 18:10:32",543,123,665
40,iniforex.com,29,4960885,241,0.08,0,0,"2021-05-11 15:55:40","1,466","1,858",0
41,sekolahforex.id,29,4850094,181,0.06,181,0.07,"2020-04-28 07:57:30",83,19,24
42,forexinthai.com,28,5126809,1,0,1,0,"2020-01-18 18:10:20",213,33,3640
43,latino-forex.com,28,5119019,33,0.01,33,0.01,"2022-07-10 14:49:50","1,411","10,443",0
44,forexevents.com,27,5906770,11,0,11,0,"2023-03-14 18:51:48",14,0,0
45,technicalforex.com,27,5634176,14,0,0,0,"2022-06-05 23:49:56",407,62,0
46,forexsignalroom.com,26,6772256,3,0,0,0,"2023-03-09 11:08:08",100,37,14
47,forextrader2win.com,26,6629482,223,0.07,0,0,"2020-08-21 10:10:11",783,683,0
48,forextradersuk.com,26,6902210,1,0,0,0,"2021-09-10 23:52:49",41,7,148
49,maharajaforex.com,26,6310090,8,0,0,0,"2021-04-06 02:26:21",40,3,581
50,centreforexpandedpoetics.com,25,7540543,43,0.01,43,0.02,"2021-09-30 07:27:51",53,50,4.5
51,exbinaforex.com,25,7501794,2,0,0,0,"2022-01-31 21:34:46",22,5,0.04
52,forexcargobox.com,25,7088039,2,0,1,0,"2019-06-26 20:05:05",41,4,0
53,forexee.com,25,7171930,1,0,1,0,"2021-07-09 10:44:55",160,29,9
